chargeback_id,customer_id,archetype,reason_code,merchant_category,amount,delivery_confirmed,three_d_secure,device_fingerprint_match,ip_geolocation_match,customer_email_opened,customer_tenure_days,customer_prior_disputes,transaction_velocity_24h,days_since_transaction,amount_vs_customer_avg,transaction_date,dispute_date,tracking_id,delivery_timestamp,merchant_policy,hidden_adjudicator_strictness,month_index,procedural_flip,won,split,generation_seed
36ea498687b6,cust_81625,high_velocity_attack,unauthorized,digital_goods,6024.48,1,0,0,1.0,0.0,106,0,12,12,2.238,2025-08-16,2025-08-28,TRK955066361,2025-08-17 03:00:00,Digital items are non-refundable after delivery to the registered account.,-0.0074,7,0,0,train,101
2c32933b4a87,cust_15298,inr_delivery_confirmed,item_not_received,ecommerce,3406.98,1,0,0,0.0,0.0,42,0,1,25,1.28,2025-07-16,2025-08-10,TRK313419568,2025-07-18 13:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.1515,6,0,0,train,101
46177b809209,cust_67038,friendly_fraud_long_tenure,unauthorized,subscriptions,3382.36,0,1,0,,0.0,372,2,2,36,1.263,2025-04-23,2025-05-29,,,First billing cycle may be refunded; subsequent cycles require unused-period evidence.,0.1538,3,0,0,train,101
d1af2445ecb7,cust_22228,unauthorized_3ds,unauthorized,digital_goods,4580.36,0,1,0,1.0,0.0,278,0,1,18,0.961,2025-08-07,2025-08-25,,,Digital items are non-refundable after delivery to the registered account.,-0.0838,7,0,1,train,101
96f8dd49f498,cust_36745,inr_delivery_confirmed,item_not_received,ecommerce,2867.23,1,1,0,0.0,1.0,513,1,1,16,0.561,2025-07-05,2025-07-21,TRK536929747,2025-07-07 23:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0468,6,0,1,train,101
23ea5966cf4a,cust_72945,friendly_fraud_long_tenure,unauthorized,fashion,1858.61,0,1,1,,0.0,1088,1,1,3,1.465,2025-05-25,2025-05-28,,,7-day exchange window. Delivery photo and tracking are retained for 180 days.,-0.004,4,0,0,train,101
8cbe910ea50d,cust_68482,inr_delivery_confirmed,item_not_received,fashion,2697.77,1,0,1,1.0,1.0,705,0,1,2,0.91,2025-04-13,2025-04-15,TRK126943822,2025-04-15 15:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,-0.0444,3,0,1,train,101
1a69ddd4fc5e,cust_88587,high_velocity_attack,unauthorized,ecommerce,2626.22,0,0,0,0.0,0.0,55,0,7,5,,2025-03-12,2025-03-17,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0548,2,0,1,train,101
e59c8a38aa97,cust_76516,friendly_fraud_long_tenure,item_not_received,subscriptions,6280.87,1,0,0,1.0,0.0,1164,2,2,18,1.148,2025-03-26,2025-04-13,TRK793023467,2025-03-27 13:00:00,First billing cycle may be refunded; subsequent cycles require unused-period evidence.,-0.0745,2,0,1,train,101
15573b12d895,cust_11915,no_evidence,unauthorized,services,2819.38,0,0,0,0.0,0.0,161,0,3,43,1.014,2025-06-23,2025-08-05,,,Service completion notes and customer confirmation emails are retained.,-0.1304,5,0,0,train,101
8fb21a5d3556,cust_94869,high_velocity_attack,unauthorized,ecommerce,1015.38,0,0,0,0.0,0.0,41,0,6,7,0.732,2025-05-31,2025-06-07,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0298,5,0,0,train,101
0c68dd7b595b,cust_27020,unauthorized_3ds,unauthorized,digital_goods,2317.73,0,1,1,0.0,0.0,324,0,1,4,0.782,2025-07-23,2025-07-27,,,Digital items are non-refundable after delivery to the registered account.,-0.0871,6,0,1,train,101
116c84647e86,cust_19404,inr_delivery_confirmed,item_not_received,grocery,1995.78,1,0,1,0.0,1.0,1022,1,1,23,0.922,2025-06-10,2025-07-03,TRK107682571,2025-06-12 19:00:00,Perishable goods are non-returnable after delivery confirmation.,-0.0919,5,0,0,train,101
22a67a7b5c2a,cust_36904,unauthorized_3ds,unauthorized,digital_goods,3061.24,1,1,0,1.0,1.0,172,0,1,1,0.593,2025-03-17,2025-03-18,TRK424112550,2025-03-20 00:00:00,Digital items are non-refundable after delivery to the registered account.,-0.005,2,0,1,train,101
637def9d2fd2,cust_27353,unauthorized_3ds,unauthorized,digital_goods,3181.8,1,1,1,1.0,1.0,112,0,1,7,1.045,2025-06-10,2025-06-17,TRK956803082,2025-06-13 01:00:00,Digital items are non-refundable after delivery to the registered account.,-0.186,5,0,0,train,101
c569d180e0a4,cust_88393,no_evidence,unauthorized,ecommerce,7179.79,0,0,1,0.0,0.0,36,0,4,34,1.64,2025-07-14,2025-08-17,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0119,6,0,0,train,101
58e12ee5d830,cust_88154,unauthorized_3ds,unauthorized,digital_goods,7346.79,1,1,1,,1.0,44,1,1,14,1.292,2025-07-10,2025-07-24,TRK152252918,2025-07-13 07:00:00,Digital items are non-refundable after delivery to the registered account.,-0.2366,6,0,1,train,101
442f07fd6d8e,cust_62232,inr_delivery_confirmed,item_not_received,fashion,1582.13,1,0,1,1.0,1.0,243,2,3,27,0.495,2025-09-11,2025-10-08,TRK947919076,2025-09-12 01:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,0.0383,8,0,1,train,101
6eeaf2b4270d,cust_12810,friendly_fraud_long_tenure,item_not_received,subscriptions,4018.34,1,0,0,1.0,1.0,651,3,2,3,0.994,2025-04-22,2025-04-25,TRK346498708,2025-04-23 03:00:00,First billing cycle may be refunded; subsequent cycles require unused-period evidence.,-0.0617,3,0,0,train,101
1d42232a33c6,cust_97642,high_velocity_attack,unauthorized,digital_goods,4240.77,1,0,0,1.0,0.0,11,0,9,5,2.243,2025-08-17,2025-08-22,TRK928139428,2025-08-20 00:00:00,Digital items are non-refundable after delivery to the registered account.,0.0923,7,1,1,train,101
6860fa7c804d,cust_46890,friendly_fraud_long_tenure,not_as_described,fashion,4871.69,1,1,0,0.0,1.0,1021,3,2,40,0.593,2025-09-13,2025-10-23,TRK941479603,2025-09-15 18:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,0.0559,8,0,0,train,101
24c2ee4f1797,cust_15304,unauthorized_3ds,unauthorized,travel,1919.69,0,1,1,1.0,1.0,185,0,1,5,2.027,2025-07-04,2025-07-09,,,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,-0.0159,6,0,0,train,101
7cd48738e357,cust_18265,high_velocity_attack,unauthorized,digital_goods,2450.22,0,0,0,0.0,0.0,0,0,5,7,2.586,2025-02-09,2025-02-16,,,Digital items are non-refundable after delivery to the registered account.,-0.0672,1,0,0,train,101
cd2bf874f370,cust_44484,unauthorized_3ds,unauthorized,travel,6424.45,0,1,1,1.0,1.0,371,0,1,16,1.153,2025-09-20,2025-10-06,,,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,-0.141,8,0,1,train,101
15d120da2f32,cust_53390,no_evidence,item_not_received,ecommerce,1043.9,0,0,0,0.0,1.0,29,1,2,24,1.817,2025-06-05,2025-06-29,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0175,5,0,0,train,101
7d623f60d5e1,cust_17765,friendly_fraud_long_tenure,not_as_described,ecommerce,5019.3,1,0,0,1.0,1.0,1490,2,2,19,1.76,2025-08-05,2025-08-24,TRK137840928,2025-08-07 16:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0252,7,0,0,train,101
8b8e9fa2de5b,cust_73291,unauthorized_3ds,unauthorized,ecommerce,3206.22,1,1,1,1.0,0.0,14,0,1,13,0.398,2025-09-09,2025-09-22,TRK934402412,2025-09-11 00:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0268,8,1,1,train,101
15b40e12aad3,cust_86888,no_evidence,unauthorized,digital_goods,1643.4,0,1,0,0.0,0.0,354,1,3,30,2.408,2025-03-20,2025-04-19,,,Digital items are non-refundable after delivery to the registered account.,0.0825,2,0,0,train,101
d2901a1f0947,cust_32718,high_velocity_attack,unauthorized,ecommerce,1094.17,0,0,0,0.0,0.0,71,0,10,3,1.38,2025-06-04,2025-06-07,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0682,5,0,0,train,101
342979193b1f,cust_87289,inr_delivery_confirmed,item_not_received,ecommerce,5730.0,1,1,0,1.0,1.0,350,0,1,25,1.091,2025-02-17,2025-03-14,TRK977356140,2025-02-18 02:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0818,1,0,1,train,101
aa90f3b38290,cust_43646,unauthorized_3ds,unauthorized,travel,9784.31,0,1,1,0.0,1.0,255,1,2,7,0.499,2025-03-29,2025-04-05,,,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,-0.0441,2,0,0,train,101
e52abccd78d8,cust_20517,friendly_fraud_long_tenure,item_not_received,subscriptions,17246.29,0,1,1,1.0,1.0,1060,1,2,23,0.418,2025-09-20,2025-10-13,,,First billing cycle may be refunded; subsequent cycles require unused-period evidence.,-0.0506,8,0,0,train,101
4592895b6212,cust_64249,unauthorized_3ds,unauthorized,travel,4007.69,0,1,1,1.0,1.0,206,0,3,12,0.1,2025-05-15,2025-05-27,,,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,-0.0848,4,0,1,train,101
1f98efca4d20,cust_11985,inr_delivery_confirmed,item_not_received,grocery,3133.06,1,1,1,0.0,1.0,1024,1,1,11,0.331,2025-06-07,2025-06-18,TRK116062133,2025-06-09 13:00:00,Perishable goods are non-returnable after delivery confirmation.,0.125,5,0,1,train,101
8276818e5af3,cust_30609,no_evidence,not_as_described,services,1887.22,0,1,1,0.0,0.0,110,1,3,5,1.507,2025-02-04,2025-02-09,,,Service completion notes and customer confirmation emails are retained.,0.07,1,0,1,train,101
2691974c796e,cust_73598,high_velocity_attack,unauthorized,digital_goods,1045.6,0,0,0,0.0,0.0,14,0,5,7,2.093,2025-02-09,2025-02-16,,,Digital items are non-refundable after delivery to the registered account.,0.0283,1,0,1,train,101
0cf6dd10f349,cust_14617,no_evidence,unauthorized,digital_goods,5960.83,0,1,0,,0.0,289,0,1,29,1.461,2025-08-12,2025-09-10,,,Digital items are non-refundable after delivery to the registered account.,-0.0073,7,0,0,train,101
ef7eb2277228,cust_75705,no_evidence,unauthorized,ecommerce,2046.27,0,0,0,1.0,0.0,32,1,4,51,1.381,2025-07-23,2025-09-12,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0246,6,0,0,train,101
8c87ac6a242a,cust_57682,no_evidence,unauthorized,services,1576.42,0,0,0,0.0,0.0,81,2,5,23,0.886,2025-04-13,2025-05-06,,,Service completion notes and customer confirmation emails are retained.,-0.0568,3,0,0,train,101
1641a6946111,cust_67620,high_velocity_attack,unauthorized,ecommerce,875.92,0,1,0,1.0,0.0,0,0,10,12,0.1,2025-05-16,2025-05-28,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0342,4,0,0,train,101
16825a656eac,cust_93030,high_velocity_attack,unauthorized,digital_goods,3995.43,0,1,0,0.0,0.0,4,0,5,1,2.93,2025-09-05,2025-09-06,,,Digital items are non-refundable after delivery to the registered account.,-0.1938,8,0,0,train,101
4067436a3f76,cust_86608,no_evidence,not_as_described,services,5910.22,0,0,0,0.0,,26,0,3,23,2.163,2025-02-26,2025-03-21,,,Service completion notes and customer confirmation emails are retained.,0.2696,1,0,0,train,101
aade43f88cec,cust_66085,friendly_fraud_long_tenure,not_as_described,subscriptions,4482.83,1,1,0,1.0,0.0,463,2,1,3,1.868,2025-07-10,2025-07-13,TRK465629772,2025-07-11 10:00:00,First billing cycle may be refunded; subsequent cycles require unused-period evidence.,0.1251,6,0,1,train,101
1edba094a094,cust_82544,inr_delivery_confirmed,item_not_received,grocery,8651.36,1,0,1,1.0,,1072,1,1,29,0.624,2025-07-09,2025-08-07,TRK564355755,2025-07-12 22:00:00,Perishable goods are non-returnable after delivery confirmation.,0.0869,6,0,1,train,101
0b9930fb6549,cust_49374,unauthorized_3ds,unauthorized,ecommerce,7092.69,1,1,1,1.0,0.0,162,2,1,22,0.434,2025-09-06,2025-09-28,TRK113064176,2025-09-07 19:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.168,8,0,1,train,101
0a1952ee7b0a,cust_39740,unauthorized_3ds,unauthorized,digital_goods,5547.51,0,1,1,0.0,0.0,526,0,3,2,0.773,2025-08-16,2025-08-18,,,Digital items are non-refundable after delivery to the registered account.,0.059,7,0,0,train,101
4120fddaed7b,cust_80115,inr_delivery_confirmed,item_not_received,grocery,2264.04,1,0,1,0.0,0.0,743,1,1,2,0.399,2025-03-26,2025-03-28,TRK909669608,2025-03-27 15:00:00,Perishable goods are non-returnable after delivery confirmation.,0.0505,2,0,0,train,101
b0b21db1fe95,cust_11464,no_evidence,unauthorized,digital_goods,2322.07,0,0,0,0.0,0.0,0,0,3,19,1.612,2025-06-02,2025-06-21,,,Digital items are non-refundable after delivery to the registered account.,0.0517,5,0,0,train,101
beb83661f000,cust_17263,inr_delivery_confirmed,item_not_received,grocery,5297.48,1,0,0,1.0,1.0,115,1,1,20,1.184,2025-05-11,2025-05-31,TRK863886943,2025-05-12 19:00:00,Perishable goods are non-returnable after delivery confirmation.,0.039,4,1,0,train,101
fb7b8d3981f8,cust_17408,unauthorized_3ds,unauthorized,ecommerce,2812.86,1,1,0,1.0,1.0,818,0,1,13,1.437,2025-07-22,2025-08-04,TRK308134301,2025-07-24 15:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0784,6,0,0,train,101
33806fb54bb9,cust_25607,friendly_fraud_long_tenure,unauthorized,fashion,7974.34,0,1,1,1.0,1.0,960,1,2,29,0.612,2025-03-21,2025-04-19,,,7-day exchange window. Delivery photo and tracking are retained for 180 days.,-0.1706,2,0,1,train,101
c94b0868d12c,cust_27478,friendly_fraud_long_tenure,item_not_received,digital_goods,4301.61,0,0,0,0.0,1.0,779,2,1,19,1.299,2025-09-17,2025-10-06,,,Digital items are non-refundable after delivery to the registered account.,-0.0194,8,0,0,train,101
836f2ace04b3,cust_36316,no_evidence,not_as_described,services,2737.7,0,0,0,0.0,0.0,211,0,3,45,2.648,2025-08-14,2025-09-28,,,Service completion notes and customer confirmation emails are retained.,-0.2273,7,0,0,train,101
f2617e98f53a,cust_60101,inr_delivery_confirmed,item_not_received,ecommerce,2144.18,1,0,1,1.0,,179,0,1,30,1.532,2025-06-22,2025-07-22,TRK408038443,2025-06-24 13:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0048,5,0,0,train,101
1c0210541524,cust_79371,no_evidence,item_not_received,ecommerce,4625.67,0,0,0,0.0,0.0,134,0,1,30,0.772,2025-05-25,2025-06-24,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.1571,4,0,0,train,101
ffade454a00e,cust_48114,friendly_fraud_long_tenure,not_as_described,digital_goods,7322.19,1,0,0,1.0,0.0,482,3,2,6,1.43,2025-09-01,2025-09-07,TRK511198465,2025-09-01 20:00:00,Digital items are non-refundable after delivery to the registered account.,-0.1571,8,0,1,train,101
99835056a655,cust_65851,unauthorized_3ds,unauthorized,travel,4374.83,1,1,0,1.0,0.0,188,0,2,27,,2025-02-07,2025-03-06,TRK465915365,2025-02-09 11:00:00,Cancellations follow fare rules. 3DS-authenticated bookings are treated as cardholder-present.,0.0152,1,1,0,train,101
0d0452c8cf9a,cust_88280,friendly_fraud_long_tenure,item_not_received,fashion,2584.98,1,1,1,1.0,0.0,534,3,2,4,1.393,2025-09-09,2025-09-13,TRK691238188,2025-09-12 20:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,0.0484,8,0,0,train,101
96e76cf8a90f,cust_15506,inr_delivery_confirmed,item_not_received,grocery,3161.77,1,1,1,0.0,1.0,843,0,1,11,1.502,2025-03-07,2025-03-18,TRK979932138,2025-03-09 13:00:00,Perishable goods are non-returnable after delivery confirmation.,-0.1408,2,0,1,train,101
612ec8873dc2,cust_36542,friendly_fraud_long_tenure,unauthorized,subscriptions,1761.2,0,0,1,1.0,1.0,886,2,1,32,1.864,2025-05-13,2025-06-14,,,First billing cycle may be refunded; subsequent cycles require unused-period evidence.,0.0393,4,0,0,train,101
36e7f41ab8ec,cust_59536,inr_delivery_confirmed,item_not_received,grocery,2356.33,1,1,1,1.0,1.0,232,1,3,10,0.1,2025-08-05,2025-08-15,TRK220736517,2025-08-08 23:00:00,Perishable goods are non-returnable after delivery confirmation.,0.0442,7,0,1,train,101
969094c66be6,cust_57764,inr_delivery_confirmed,item_not_received,grocery,1668.87,1,1,0,,0.0,7,1,1,23,0.858,2025-09-14,2025-10-07,TRK350801220,2025-09-16 03:00:00,Perishable goods are non-returnable after delivery confirmation.,-0.0797,8,0,0,train,101
fc3759c3b5d9,cust_51713,no_evidence,unauthorized,services,2812.73,0,0,0,1.0,0.0,0,0,1,7,0.535,2025-03-06,2025-03-13,,,Service completion notes and customer confirmation emails are retained.,0.132,2,0,0,train,101
99f6522cf12e,cust_96975,no_evidence,item_not_received,services,1616.26,0,0,0,0.0,0.0,117,1,2,28,0.1,2025-05-03,2025-05-31,,,Service completion notes and customer confirmation emails are retained.,-0.0039,4,0,1,train,101
4125971611cc,cust_82725,no_evidence,item_not_received,digital_goods,2525.85,0,0,0,0.0,,133,1,2,52,1.607,2025-08-23,2025-10-14,,,Digital items are non-refundable after delivery to the registered account.,0.0869,7,1,1,train,101
b4f3e3dc0b8b,cust_72635,unauthorized_3ds,unauthorized,digital_goods,7417.37,1,1,0,1.0,0.0,400,0,1,1,1.248,2025-03-19,2025-03-20,TRK961134092,2025-03-22 14:00:00,Digital items are non-refundable after delivery to the registered account.,-0.1671,2,0,1,train,101
d47db14ddd49,cust_11432,friendly_fraud_long_tenure,item_not_received,ecommerce,1362.25,1,1,1,1.0,1.0,1051,1,1,12,1.954,2025-07-26,2025-08-07,TRK832747428,2025-07-27 04:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0244,6,0,1,train,101
520655be4a6d,cust_77338,inr_delivery_confirmed,item_not_received,fashion,2966.41,1,0,1,0.0,1.0,783,1,2,15,1.076,2025-04-15,2025-04-30,TRK535379355,2025-04-15 22:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,0.0669,3,0,1,train,101
f60304169bb6,cust_38897,unauthorized_3ds,unauthorized,digital_goods,2047.86,1,1,0,1.0,1.0,254,1,1,8,1.139,2025-05-28,2025-06-05,TRK498074295,2025-05-29 18:00:00,Digital items are non-refundable after delivery to the registered account.,0.0955,4,0,1,train,101
103fbc1d6e89,cust_91210,friendly_fraud_long_tenure,item_not_received,fashion,2141.19,1,1,0,1.0,0.0,758,0,2,16,2.675,2025-05-28,2025-06-13,TRK507125066,2025-05-28 21:00:00,7-day exchange window. Delivery photo and tracking are retained for 180 days.,-0.2316,4,0,1,train,101
6dbbe40f006c,cust_47606,inr_delivery_confirmed,item_not_received,grocery,3476.85,1,0,1,1.0,1.0,706,1,1,22,1.221,2025-09-21,2025-10-13,TRK750461068,2025-09-23 05:00:00,Perishable goods are non-returnable after delivery confirmation.,-0.0346,8,0,1,train,101
64f4f3e6f9a6,cust_81472,friendly_fraud_long_tenure,unauthorized,digital_goods,3002.89,0,1,1,0.0,0.0,564,0,1,45,0.509,2025-05-20,2025-07-04,,,Digital items are non-refundable after delivery to the registered account.,-0.1269,4,0,0,train,101
f85658cb7e39,cust_63537,inr_delivery_confirmed,item_not_received,ecommerce,3215.04,1,0,0,,1.0,613,1,1,16,0.889,2025-05-01,2025-05-17,TRK973496307,2025-05-04 01:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.096,4,0,1,train,101
6423a19cf942,cust_97964,inr_delivery_confirmed,item_not_received,ecommerce,4952.9,0,0,0,0.0,1.0,297,1,1,18,1.365,2025-05-14,2025-06-01,,,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,0.0417,4,0,0,train,101
75dccf7dd17d,cust_25283,inr_delivery_confirmed,item_not_received,ecommerce,6842.66,1,1,1,0.0,1.0,469,0,1,9,1.178,2025-04-27,2025-05-06,TRK520441761,2025-04-30 15:00:00,30-day returns on unused goods. Signature on delivery is accepted proof of receipt.,-0.0119,3,0,0,train,101
40694a916014,cust_74178,unauthorized_3ds,unauthorized,digital_goods,8465.09,1,1,1,1.0,1.0,84,0,1,1,0.882,2025-09-09,2025-09-10,TRK194648190,2025-09-11 22:00:00,Digital items are non-refundable after delivery to the registered account.,0.1879,8,0,1,train,101
